Ligne;Total;26/1;27/1;28/1
1;240;240;;
2;240;240;;
3;180;180;;
4;180;180;;
5;120;120;;
6;240;240;;
7;120;120;;
8;180;180;;
9;120;120;;
10;180;180;;
11;180;180;;
12;120;120;;
13;180;180;;
14;120;120;;
15;180;180;;
16;120;120;;
17;180;180;;
18;120;120;;
19;240;240;;
20;120;120;;
21;180;180;;
22;30;30;;
23;20;20;;
24;40;40;;
25;45;45;;
26;20;;20;
27;180;;180;
28;120;;120;
29;120;;120;
30;120;;120;
31;120;;120;
32;180;;180;
33;20;;20;
34;120;;120;
35;180;;180;
36;120;;120;
37;180;;180;
38;120;;120;
39;120;;120;
40;10;;;10
41;60;;;60
42;120;;;120
43;120;;;120
44;180;;;180
45;180;;;180
46;180;;;180
47;180;;;180
48;180;;;180
49;20;;;20
50;30;;;30
51;180;;;180
52;120;;;120
53;120;;;120
