Id;Module;Fonctionnalité;Tâche;Type;Développeur;Durée Estimée (min);Durée Réelle (min);Reste à faire (min);Avancement (%)
10;Backoffice;Gestion Commande;Ajout bouton annuler;Affichage;ETU003110;10;0;10;0,00%
11;Backoffice;Gestion Commande;gestion annulation;Metier;ETU003110;25;0;25;0,00%
12;Backoffice;Gestion Commande;Ajout bouton livrer;Affichage;ETU003110;10;0;10;0,00%
13;Backoffice;Gestion Commande;gestion livraison;Metier;ETU003110;25;0;25;0,00%
14;Backoffice;Gestion Commande;modification creation / MAJ commande;Metier;ETU003110;30;0;30;0,00%
15;Backoffice;Gestion Stock;correction mouvement stock;Metier;ETU003110;30;0;30;0,00%
16;Backoffice;Gestion Stock;gestion stock physique;Metier;ETU003110;25;0;25;0,00%
17;Backoffice;Gestion Stock;update stock physique;Base;ETU003110;20;0;20;0,00%
18;Backoffice;Gestion Stock;tableau quantite (get Qte physique, reserve, disponible);Affichage;ETU003110;35;0;35;0,00%
19;Backoffice;Gestion Import;modification import;Metier;ETU003110;40;0;40;0,00%
20;Backoffice;Statistiques;statistique vente;Metier;ETU003110;30;0;30;0,00%
21;Backoffice;Statistiques;filtre par categorie;Integration;ETU003110;15;0;15;0,00%
22;Backoffice;Statistiques;calcul total vente / achat / benef;Metier;ETU003110;40;0;40;0,00%
23;Backoffice;Gestion Categorie;ajout filtre categorie;Integration;ETU003110;15;0;15;0,00%
