Ligne;Total;j1;j2;j3;j4
1;30;8;8;7;7
2;10;3;3;2;2
3;10;3;3;2;2
4;20;5;5;5;5
5;10;3;3;2;2
6;20;5;5;5;5
7;30;8;8;7;7
8;10;3;3;2;2
9;30;8;8;7;7
10;30;8;8;7;7
11;20;5;5;5;5
12;10;3;3;2;2
13;40;10;10;10;10
14;10;3;3;2;2
15;10;3;3;2;2
16;30;8;8;7;7
17;40;10;10;10;10
18;20;5;5;5;5
19;20;5;5;5;5
20;10;3;3;2;2
21;50;13;13;12;12
22;30;8;8;7;7
23;30;8;8;7;7
24;50;13;13;12;12
25;40;10;10;10;10
26;20;5;5;5;5
27;30;8;8;7;7
28;40;10;10;10;10
29;10;3;3;2;2
30;30;8;8;7;7
31;10;3;3;2;2
32;10;3;3;2;2
33;10;3;3;2;2
34;50;13;13;12;12
35;40;10;10;10;10
36;10;3;3;2;2
37;20;5;5;5;5
38;20;5;5;5;5
39;10;3;3;2;2
40;10;3;3;2;2
41;20;5;5;5;5
42;10;3;3;2;2
43;50;13;13;12;12
44;20;5;5;5;5
45;40;10;10;10;10
46;10;3;3;2;2
47;30;8;8;7;7
48;10;3;3;2;2
49;10;3;3;2;2
50;10;3;3;2;2
51;40;10;10;10;10
52;20;5;5;5;5
53;10;3;3;2;2
54;0;;;;
55;20;5;5;5;5
56;30;8;8;7;7
57;30;8;8;7;7
58;20;5;5;5;5
59;30;8;8;7;7
60;20;5;5;5;5
61;50;13;13;12;12
62;30;8;8;7;7
63;40;10;10;10;10
64;10;3;3;2;2
65;40;10;10;10;10
66;10;3;3;2;2
67;10;3;3;2;2
68;20;5;5;5;5
69;10;3;3;2;2
70;10;3;3;2;2
71;20;5;5;5;5
72;20;5;5;5;5
73;20;5;5;5;5
74;40;10;10;10;10
75;30;8;8;7;7
76;30;8;8;7;7
77;50;13;13;12;12
78;40;10;10;10;10
79;40;10;10;10;10
80;30;8;8;7;7
81;30;8;8;7;7
82;30;8;8;7;7
83;50;13;13;12;12
84;40;10;10;10;10
85;70;18;18;17;17
86;40;10;10;10;10
87;20;5;5;5;5
88;30;8;8;7;7
89;40;10;10;10;10
90;30;8;8;7;7
91;20;5;5;5;5
92;20;5;5;5;5
93;40;10;10;10;10
94;30;8;8;7;7
95;30;8;8;7;7
96;10;3;3;2;2
97;20;5;5;5;5
98;20;5;5;5;5
99;20;5;5;5;5
100;20;5;5;5;5
101;30;8;8;7;7
102;50;13;13;12;12
103;30;8;8;7;7
104;20;5;5;5;5
105;30;8;8;7;7
106;40;10;10;10;10
107;50;13;13;12;12
108;20;5;5;5;5
109;10;3;3;2;2
110;20;5;5;5;5
111;20;5;5;5;5
112;40;10;10;10;10
113;20;5;5;5;5
114;20;5;5;5;5
115;20;5;5;5;5
116;30;8;8;7;7
117;30;8;8;7;7
118;10;3;3;2;2
119;30;8;8;7;7
120;20;5;5;5;5
121;30;8;8;7;7
122;20;5;5;5;5
123;10;3;3;2;2
124;20;5;5;5;5
125;30;8;8;7;7
126;40;10;10;10;10
127;20;5;5;5;5
128;20;5;5;5;5
129;10;3;3;2;2
130;20;5;5;5;5
131;10;3;3;2;2
132;10;3;3;2;2
133;20;5;5;5;5
134;10;3;3;2;2
135;20;5;5;5;5
136;15;4;4;4;3
137;15;4;4;4;3
138;20;5;5;5;5
139;20;5;5;5;5
140;15;4;4;4;3
141;15;4;4;4;3
142;10;3;3;2;2
143;15;4;4;4;3
144;15;4;4;4;3
145;15;4;4;4;3
146;25;7;6;6;6
147;15;4;4;4;3
148;10;3;3;2;2
149;10;3;3;2;2
150;10;3;3;2;2
151;15;4;4;4;3
